id,RevisionId,AllocationId,TradeTypeName,SecurityId,SecurityType,Name,Ticker,CUSIP,ISIN,TradeDate,SettleDate,Quantity,Price,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName,CustodianName,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation
3538589,3,3474922,Buy,276270,Equity,AA,AA,13817101,US0138171014,2026-01-15,00:00.0,5000,130.0,,650000.0,0.0,650141.96,5000.0,650000.0,0.0,141.96,650141.96,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3542069,2,3474926,Sell,276270,Equity,AA,AA,13817101,US0138171014,2026-01-15,00:00.0,5000,130.0,,650000.0,0.0,651961.96,5000.0,650000.0,0.0,-1961.96,651961.96,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3542070,2,3474925,Buy,276270,Equity,AA,AA,13817101,US0138171014,2026-01-15,00:00.0,5000,130.0,,650000.0,0.0,651961.96,5000.0,650000.0,0.0,1961.96,651961.96,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,Client Rule - ClientA,0
3552508,2,3477741,Buy,276270,Equity,AA,AA,13817101,US0138171014,2026-01-15,00:00.0,100,20.0,,2000.0,0.0,2000.04,100.0,2000.01,0.0,0.03,2000.04,HoldCo 1,JP MORGAN SECURITIES LLC, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 1,0
3552509,2,3477742,Buy,273818,Equity,AL,AL,00912X302,US00912X3026,2026-01-15,00:00.0,1000,10.0,,10000.0,0.0,10002.18,1000.0,10000.0,0.0,2.18,10002.18,HoldCo 1,JP MORGAN SECURITIES LLC, Default,Asset,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3552510,2,3477743,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,1000,10.0,,10000.0,0.0,10002.18,1000.0,10000.0,0.0,2.18,10002.18,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3552511,5,3477738,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,1000,10.0,,10000.0,0.0,10002.18,1000.0,10000.0,0.0,2.18,10002.18,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3552512,5,3477739,Sell,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,1000,10.0,,10000.0,0.0,10030.18,1000.0,10000.0,0.0,30.18,10030.18,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3552513,5,3477740,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,1000,10.0,,10000.0,0.0,10030.18,1000.0,10000.0,0.0,30.18,10030.18,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3552520,3,3477752,Buy,271781,Equity,IO,IO,462044108,US4620441083,2026-01-15,00:00.0,3000,20.0,,60000.0,0.0,60012.0,3000.0,60000.0,0.0,12.0,60012.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3552521,3,3477753,Sell,271781,Equity,IO,IO,462044108,US4620441083,2026-01-15,00:00.0,3000,20.0,,60000.0,0.0,60180.0,3000.0,60000.0,0.0,180.0,60180.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3552522,3,3477754,Buy,271781,Equity,IO,IO,462044108,US4620441083,2026-01-15,00:00.0,3000,20.0,,60000.0,0.0,60180.0,3000.0,60000.0,0.0,180.0,60180.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3552523,3,3477759,Buy,279092,Equity,AT,3692470Q,20039103,US0200391037,2026-01-15,00:00.0,10000,20.0,,200000.0,0.0,200043.68,10000.0,200000.0,0.0,43.68,200043.68,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3552524,2,3477760,Sell,279092,Equity,AT,3692470Q,20039103,US0200391037,2026-01-15,00:00.0,10000,20.0,,200000.0,0.0,200603.68,10000.0,200000.0,0.0,603.68,200603.68,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3552525,2,3477761,Buy,279092,Equity,AT,3692470Q,20039103,US0200391037,2026-01-15,00:00.0,10000,20.0,,200000.0,0.0,200603.68,10000.0,200000.0,0.0,603.68,200603.68,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3562963,2,3480564,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,1071429.0,0.0,0.0,0.0,0.0,Leatherwood Trust MA,CS Prime,ACE,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562963,2,3480565,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,1071429.0,0.0,0.0,0.0,0.0,Leatherwood Trust MA,CS Prime, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562963,2,3480566,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,1250000.0,0.0,0.0,0.0,0.0,Redfield Accu-Fund,CS Prime, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562963,2,3480567,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,1250000.0,0.0,0.0,0.0,0.0,Redfield Accu-Fund,CS Prime,ACE,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562963,2,3480568,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,178571.0,0.0,0.0,0.0,0.0,UNC Investment Fund,CS Prime,ACE,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562963,2,3480569,Buy,288790,AssetBacked,004421CG6,,004421CG6,US004421CG60,2026-01-15,00:00.0,5000000,90.0,,0.0,0.0,0.0,178571.0,0.0,0.0,0.0,0.0,UNC Investment Fund,CS Prime, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,0
3562964,5,3480582,Buy,273771,Bond,000361AH8,,000361AH8,US000361AH87,2026-01-15,00:00.0,100000,101.0,,101000.0,9.72,101009.72,100000.0,101000.0,9.72,0.0,101009.72,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPMEF,Single Fund Rule - HoldCo 1,0
3562965,2,3480583,Sell,273771,Bond,000361AH8,,000361AH8,US000361AH87,2026-01-15,00:00.0,100000,103.0,,103000.0,9.72,103009.72,100000.0,103000.0,9.72,9.72,103009.72,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3562966,2,3480584,Buy,273771,Bond,000361AH8,,000361AH8,US000361AH87,2026-01-15,00:00.0,100000,103.0,,103000.0,9.72,103009.72,100000.0,103000.0,9.72,9.72,103009.72,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3562967,3,3480591,Buy,279160,Equity,C,C,172967424,US1729674242,2026-01-15,00:00.0,1000,100.0,,100000.0,0.0,100021.84,1000.0,100000.0,0.0,21.84,100021.84,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3562968,3,3480592,Sell,279160,Equity,C,C,172967424,US1729674242,2026-01-15,00:00.0,1000,100.0,,100000.0,0.0,100021.84,1000.0,100000.0,0.0,21.84,100021.84,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3562969,3,3480593,Buy,279160,Equity,C,C,172967424,US1729674242,2026-01-15,00:00.0,1000,100.0,,100000.0,0.0,100021.84,1000.0,100000.0,0.0,21.84,100021.84,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3562970,1,3480594,Buy,290084,FX Forward,FxFwd Buy USD Sell TRY @ 18.6 USDTRY 2/3/2023 GSCO,TRY,,,2026-01-15,00:00.0,2000000,18.6,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,GSCO,Single Fund Rule - HoldCo 1,0
3562971,1,3480595,Sell,290084,FX Forward,FxFwd Buy USD Sell TRY @ 18.6 USDTRY 2/3/2023 GSCO,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,35210000.0,37210000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3562972,1,3480596,Buy,290084,FX Forward,FxFwd Buy USD Sell TRY @ 18.6 USDTRY 2/3/2023 GSCO,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,35210000.0,37210000.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3562973,1,3480597,Buy,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.6,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,GSCO,Single Fund Rule - HoldCo 1,0
3562974,1,3480598,Sell,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,35210000.0,37210000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3562975,1,3480599,Buy,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,35210000.0,37210000.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,280308,0
3566455,1,3481532,Buy,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.6,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,GSCO,Single Fund Rule - HoldCo 1,0
3566456,1,3481533,Sell,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566457,1,3481534,Buy,290085,FX Forward,USDTRY FxFwd 18.6 20230207,TRY,,,2026-01-15,00:00.0,2000000,18.605,,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,Client Rule - ClientA,0
3566458,1,3481535,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,10000,40.0,,400000.0,0.0,400087.36,10000.0,400000.0,0.0,87.36,400087.36,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3566459,1,3481536,Sell,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,10000,40.0,,400000.0,0.0,400087.36,10000.0,400000.0,0.0,87.36,400087.36,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566460,2,3481538,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,10000,40.0,,400000.0,0.0,401207.36,10000.0,400000.0,0.0,1207.36,401207.36,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,Client Rule - ClientA,0
3566461,2,3481545,Sell,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,10000,40.0,,400000.0,0.0,401207.36,10000.0,400000.0,0.0,1207.36,401207.36,ClientA,Default Custodian, Default,ClientA,DefaultS2,ClientA,Client Rule - ClientA,0
3566462,2,3481546,Buy,279099,Equity,AV,3414924Q,53499109,US0534991098,2026-01-15,00:00.0,10000,40.0,,400000.0,0.0,401207.36,10000.0,400000.0,0.0,1207.36,401207.36,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,Client Rule - ClientA,0
3566463,2,3481542,Buy,279129,Equity,BG,BG,,BMG169621056,2026-01-15,00:00.0,1000,40.0,,40000.0,0.0,40008.74,1000.0,40000.01,0.0,8.73,40008.74,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3566464,1,3481543,Sell,279129,Equity,BG,BG,,BMG169621056,2026-01-15,00:00.0,1000,40.0,,40000.0,0.0,40008.74,1000.0,40000.0,0.0,8.74,40008.74,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566465,1,3481544,Buy,279129,Equity,BG,BG,,BMG169621056,2026-01-15,00:00.0,1000,40.0,,40000.0,0.0,40008.74,1000.0,40000.0,0.0,8.74,40008.74,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,Client Rule - ClientA,0
3566466,2,3481564,Sell Short,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,377900.0,400000.0,400000.0,0.0,22100.0,377900.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ABGS,Single Fund Rule - HoldCo 1,0
3566467,4,3481567,Cover Short,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,0.0,400000.0,400000.0,0.0,0.0,0.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566468,4,3481568,Sell Short,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,0.0,400000.0,400000.0,0.0,0.0,0.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3566469,2,3481572,Buy,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,134.5,,67250000.0,0.0,67264687.4,500000.0,67250000.0,0.0,14687.4,67264687.4,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3566470,2,3481573,Sell,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,134.5,,67250000.0,0.0,67264687.4,500000.0,67250000.0,0.0,14687.4,67264687.4,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566471,2,3481574,Buy,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,134.5,,67250000.0,0.0,67264687.4,500000.0,67250000.0,0.0,14687.4,67264687.4,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3566472,1,3481555,Buy,290090,Bond,XS2468421248,,BV6910822,XS2468421248,2026-01-15,00:00.0,200000,100.49,,200980.0,6629.16,207609.16,200000.0,200980.0,6629.16,0.0,207609.16,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566473,1,3481556,Sell,290090,Bond,XS2468421248,,BV6910822,XS2468421248,2026-01-15,00:00.0,200000,100.95,,201900.0,6629.16,208529.16,200000.0,201900.0,6629.16,6629.16,208529.16,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566474,1,3481557,Buy,290090,Bond,XS2468421248,,BV6910822,XS2468421248,2026-01-15,00:00.0,200000,100.95,,201900.0,6629.16,208529.16,200000.0,201900.0,6629.16,6629.16,208529.16,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3566475,1,3481558,Sell,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,106.0,,53000000.0,0.0,52840024.8,500000.0,53000000.0,0.0,159975.2,52840024.8,ClientA,Default Custodian, Default,ClientA,DefaultS2,ClientA,All,0
3566476,1,3481559,Buy,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,106.0,,53000000.0,0.0,52840024.8,500000.0,53000000.0,0.0,-159975.2,52840024.8,ClientA,Default Custodian, Default,ClientA,DefaultS2,ClientA,All,0
3566477,1,3481560,Sell,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,106.0,,53000000.0,0.0,52840024.8,500000.0,53000000.0,0.0,-159975.2,52840024.8,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3566478,2,3481575,Buy,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,420100.0,400000.0,400000.0,0.0,20100.0,420100.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,CLEVR,Single Fund Rule - HoldCo 1,0
3566479,5,3481578,Sell,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,442200.0,400000.0,400000.0,0.0,42200.0,442200.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566480,4,3481579,Buy,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,442200.0,400000.0,400000.0,0.0,42200.0,442200.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3566481,1,3481580,Buy,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,420100.0,400000.0,400000.0,0.0,20100.0,420100.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,CLEVR,Single Fund Rule - HoldCo 1,0
3566482,1,3481581,Sell,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,442200.0,400000.0,400000.0,0.0,42200.0,442200.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3566483,1,3481582,Buy,290087,FX Option,USD Call TRY Put,,,,2026-01-15,00:00.0,400000,1.0,,400000.0,0.0,442200.0,400000.0,400000.0,0.0,42200.0,442200.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3569963,2,3482518,Buy,290089,Bond,XS2332876106,,BQ2220128,XS2332876106,2026-01-15,00:00.0,600000,91.69,,550140.0,2875.0,553015.0,600000.0,550140.0,2875.0,0.0,553015.0,HoldCo 1,CITIGROUP GLOBAL MARKETS INC., Default,ClientA,DefaultS2,JPHQ,Single Fund Rule - HoldCo 1,0
3569964,2,3482519,Sell,290089,Bond,XS2332876106,,BQ2220128,XS2332876106,2026-01-15,00:00.0,600000,92.2,,553200.0,2875.0,556075.0,600000.0,553200.0,2875.0,2875.0,556075.0,HoldCo 1,CITIGROUP GLOBAL MARKETS INC., Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3569965,2,3482520,Buy,290089,Bond,XS2332876106,,BQ2220128,XS2332876106,2026-01-15,00:00.0,600000,92.2,,553200.0,2875.0,556075.0,600000.0,553200.0,2875.0,2875.0,556075.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3569966,1,3482521,Buy,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,101.0,,50500000.0,0.0,50534929.2,500000.0,50500000.0,0.0,34929.2,50534929.2,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,BARD,Single Fund Rule - HoldCo 1,0
3569967,1,3482522,Sell,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,101.0,,50500000.0,0.0,50534929.2,500000.0,50500000.0,0.0,34929.2,50534929.2,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3569968,1,3482523,Buy,290081,Equity,IBM-US,IBM,459200101,US4592001014,2026-01-15,00:00.0,500000,101.0,,50500000.0,0.0,50534929.2,500000.0,50500000.0,0.0,34929.2,50534929.2,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
3569969,1,3482524,Buy,290093,FX Forward,FxFwd Buy USD Sell EUR @ 1.065 EURUSD 2/23/2023 JPHBX,EUR,,,2026-01-15,00:00.0,3195000,1.065,,3195000.0,0.0,3195000.0,3195000.0,3195000.0,0.0,0.0,3195000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,JPHBX,Single Fund Rule - HoldCo 1,0
3569970,1,3482525,Sell,290093,FX Forward,FxFwd Buy USD Sell EUR @ 1.065 EURUSD 2/23/2023 JPHBX,EUR,,,2026-01-15,00:00.0,3195000,1.063,,3195000.0,0.0,3195000.0,3195000.0,3195000.0,0.0,0.0,3195000.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,ClientA,DefaultS2,ClientA,Single Fund Rule - HoldCo 1,0
3569971,1,3482526,Buy,290093,FX Forward,FxFwd Buy USD Sell EUR @ 1.065 EURUSD 2/23/2023 JPHBX,EUR,,,2026-01-15,00:00.0,3195000,1.063,,3195000.0,0.0,3195000.0,3195000.0,3195000.0,0.0,0.0,3195000.0,ClientA,Default Custodian, Default,ClientA,DefaultS2,Internal,All,0
